keep,drop,similarity
301,416,0.9531862219525974
435,437,0.9530805320492028
249,326,0.9528946484864219
375,434,0.9524197966815
59,116,0.9522067464296529
249,333,0.9516013894969264
72,215,0.9515000122895303
200,577,0.9514177626250095
14,201,0.9504776880884918
270,324,0.950334385588788
433,548,0.9492110534270314
96,254,0.9484008258059513
279,465,0.9477779784149665
200,557,0.9476592967182458
513,536,0.9472628588480086
123,383,0.947049362379867
40,200,0.9468946348411201
279,390,0.9466247696743971
9,59,0.9466123166631994
309,399,0.9465453641985814
323,500,0.9444959646402075
20,72,0.9439150077635342
20,433,0.9435975251520121
270,613,0.9435812496494357
13,281,0.9432737855019002
96,517,0.943194137629592
151,486,0.942847634443582
15,417,0.9414158691303938
17,410,0.9402587063021858
96,229,0.9391543072479163
227,279,0.936265016660244
513,561,0.9360907363847648
15,280,0.9351414435664498
14,388,0.9351235986350972
1,96,0.9341981315361688
513,537,0.9337726868412568
17,25,0.9325324946022032
303,327,0.932033652157628
283,381,0.9306564674621294
375,470,0.9292200926420322
227,573,0.927318134648502
373,375,0.9267070564621036
13,373,0.9260624195499847
149,525,0.9251313557484493
271,409,0.9244893779917007
70,469,0.924402796645825
1,20,0.9240958256815512
412,488,0.9213593799078668
33,156,0.9206019081694847
70,495,0.919843055158488
251,606,0.9186624199197477
249,253,0.9179221565970833
449,499,0.9177516748714731
15,226,0.9170952264527913
11,496,0.9163615849149678
14,33,0.9157641181293978
301,328,0.9157115782416703
15,605,0.9155243424062292
70,443,0.915414022029096
17,23,0.914694319847374
213,270,0.9118593487483506
172,450,0.911197931514085
123,299,0.9101662288691974
1,17,0.9095471397087356
322,323,0.9087966908491965
576,612,0.907957608318128
249,303,0.9054189610688991
204,325,0.9043881907576493
412,513,0.901302150925104
359,538,0.9002299323456677
213,322,0.8988194783708678
359,576,0.8974489563623724
412,464,0.8957889448542974
435,444,0.8915184493297235
13,43,0.8905976200421752
359,459,0.8887641570934728
271,283,0.8875828505775243
12,249,0.8875253901240836
123,179,0.8867624437440298
320,435,0.8863106510689975
13,449,0.8843749486234367
271,301,0.8842356666384279
49,149,0.8839402600690001
70,320,0.8768176998477767
359,361,0.8755818711263144
13,228,0.8744740930265493
70,284,0.8733547602216802
123,271,0.8695453658548136
11,14,0.8675024146354928
307,359,0.8616147851763147
9,44,0.8607675493290265
9,100,0.8605167557613953
70,468,0.8604032725523048
9,49,0.8580637704682907
15,213,0.8503723393729827
50,309,0.8485710743236432
48,172,0.8474354199475083
331,598,0.8462555517803759
1,13,0.8454915392754003
483,585,0.8440152765697164
331,551,0.8433905159245472
48,83,0.8426292640765929
483,601,0.8426193764044331
483,512,0.8413459390610201
9,349,0.840407956264587
70,348,0.8397903698161617
6,483,0.8389990321041826
9,204,0.837073048512517
9,141,0.8326588483703772
251,582,0.8305761319749496
9,425,0.8301324428994042
412,539,0.8292693365701949
15,123,0.823872013863016
9,160,0.8238138551408198
9,155,0.8233945779955107
9,95,0.8233890995552435
9,154,0.8230405476030768
48,623,0.8229949934233804
307,331,0.8184318719749273
9,91,0.8179650033960761
9,90,0.8173192231056466
9,187,0.8166912021093805
1,307,0.8164501216788438
9,190,0.8160126855910594
66,553,0.8145033816140874
9,157,0.8141431989316175
492,493,0.8133383047746467
9,12,0.8125991742776515
31,66,0.8045992788062621
15,506,0.8031594423352202
151,518,0.7985964258247162
9,550,0.7952426535220749
412,492,0.7918143341449962
31,412,0.7893991130819243
70,296,0.7876489966534137
9,358,0.7831984143523502
15,227,0.7737928823821476
40,82,0.7526792661227159
1,151,0.7514284013929905
1,77,0.7409231318317033
70,473,0.7333355559452669
31,251,0.7333338258838137
11,70,0.7325560430472329
1,176,0.7310555873093844
26,31,0.7274655556516942
26,40,0.7249873145594989
9,15,0.7060021315652198
67,509,0.7033520144189928
26,38,0.7023660748858117
26,67,0.6896688423111502
1,57,0.686373899910543
48,50,0.6812954848067103
18,357,0.6791282666725565
26,103,0.6779789468972912
6,26,0.6487559557809188
51,203,0.6282380135748139
6,255,0.6075968044315321
6,51,0.6024504996698303
1,48,0.5963180627071384
1,6,0.5224495927531967
332,609,0.52112409642613
1,11,0.5065071049353513
98,332,0.5047595139387798
92,148,0.39864828348573295
482,610,0.3936133027483417
92,356,0.3935310276698996
58,474,0.39054777624373227
10,622,0.38920583659252167
8,619,0.3886603340821466
58,300,0.38829257352518104
34,125,0.3848511146720155
34,524,0.3831266658925457
92,297,0.3821312327428668
18,247,0.3812310360170372
24,335,0.3800779321063102
8,92,0.377202449708067
24,58,0.37507171704696396
245,482,0.37455260360053433
10,614,0.36715104724568726
10,24,0.3649805537866781
8,245,0.3645021284781813
10,34,0.35837529779493704
10,18,0.3573709275990534
